KANSAS HOUSE DISTRICT 081,HOWELL,WELLS,
,REPUBLICAN,DEMOCRATIC,
,,,
WICHITA PRECINCT 233,259,172,
WICHITA PRECINCT 310,105,228,
WICHITA PRECINCT 323,78,148,
DERBY WARD 01 PRECINCT 01,856,347,
DERBY WARD 01 PRECINCT 02,464,220,
DERBY WARD 01 PRECINCT 03,111,52,
DERBY WARD 01 PRECINCT 04,289,115,
DERBY WARD 01 PRECINCT 05,27,11,
DERBY WARD 02 PRECINCT 03,268,78,
DERBY WARD 02 PRECINCT 06,310,143,
GYPSUM PRECINCT 01,1054,423,
GYPSUM PRECINCT 02,33,15,
GYPSUM PRECINCT 03,24,20,
GYPSUM PRECINCT 04,5,2,
RIVERSIDE PRECINCT 03,85,74,
RIVERSIDE PRECINCT 04,55,141,
RIVERSIDE PRECINCT 06,83,53,
,,,
TOTALS,4106,2242,
,,,
KANSAS HOUSE DISTRICT 082,DEGRAAF,,
,REPUBLICAN,,
,,,
DERBY WARD 02 PRECINCT 01,508,,
DERBY WARD 02 PRECINCT 02,476,,
DERBY WARD 02 PRECINCT 05,48,,
DERBY WARD 03 PRECINCT 01,234,,
DERBY WARD 03 PRECINCT 02,165,,
DERBY WARD 03 PRECINCT 04,144,,
DERBY WARD 03 PRECINCT 05,255,,
DERBY WARD 03 PRECINCT 06,772,,
DERBY WARD 03 PRECINCT 07,130,,
DERBY WARD 04 PRECINCT 01,352,,
DERBY WARD 04 PRECINCT 02,831,,
DERBY WARD 04 PRECINCT 03,22,,
DERBY WARD 04 PRECINCT 04,454,,
MULVANE PRECINCT 01,419,,
MULVANE PRECINCT 02,1044,,
ROCKFORD PRECINCT 01,272,,
ROCKFORD PRECINCT 02,40,,
ROCKFORD PRECINCT 03,207,,
ROCKFORD PRECINCT 04,23,,
,,,
TOTALS,6396,,
,,,
KANSAS HOUSE DISTRICT 083,BRIDGES,GARVEY,
,DEMOCRATIC,REPUBLICAN,
,,,
WICHITA PRECINCT 109,698,291,
WICHITA PRECINCT 110,162,152,
WICHITA PRECINCT 203,524,427,
WICHITA PRECINCT 204,441,412,
WICHITA PRECINCT 205,232,115,
WICHITA PRECINCT 306,726,520,
WICHITA PRECINCT 307,329,216,
WICHITA PRECINCT 308,591,366,
WICHITA PRECINCT 321,19,3,
MINNEHA PRECINCT 02,181,274,
,,,
TOTALS,3903,2776,
,,,
KANSAS HOUSE DISTRICT 084,BAKKEN,FINNEY,HEFLIN
,LIBERTARIAN,DEMOCRATIC,REPUBLICAN
,,,
WICHITA PRECINCT 106,22,166,85
WICHITA PRECINCT 107,35,557,76
WICHITA PRECINCT 108,44,436,226
WICHITA PRECINCT 113,22,664,52
WICHITA PRECINCT 114,15,705,23
WICHITA PRECINCT 116,27,1018,41
WICHITA PRECINCT 201,86,629,486
WICHITA PRECINCT 202,78,574,533
,,,
TOTALS,329,4749,1522
,,,
KANSAS HOUSE DISTRICT 085,BRUNK,STANLEY,
,REPUBLICAN,DEMOCRATIC,
,,,
WICHITA PRECINCT 122,629,689,
WICHITA PRECINCT 216,629,332,
WICHITA PRECINCT 217,893,351,
WICHITA PRECINCT 218,1185,627,
WICHITA PRECINCT 221,518,228,
WICHITA PRECINCT 222,651,275,
WICHITA PRECINCT 236,565,189,
BEL AIRE PRECINCT 03,499,258,
MINNEHA PRECINCT 07,7,5,
MINNEHA PRECINCT 11,0,1,
PAYNE PRECINCT 01,332,96,
PAYNE PRECINCT 02,52,16,
,,,
TOTALS,5960,3067,
,,,
KANSAS HOUSE DISTRICT 086,PRUDEN,STEVENS,WARD
,LIBERTARIAN,REPUBLICAN,DEMOCRATIC
,,,
WICHITA PRECINCT 101,47,379,536
WICHITA PRECINCT 105,39,157,356
WICHITA PRECINCT 130,44,176,364
WICHITA PRECINCT 301,18,162,254
WICHITA PRECINCT 302,42,300,481
WICHITA PRECINCT 303,24,161,198
WICHITA PRECINCT 304,18,157,228
WICHITA PRECINCT 305,59,445,779
WICHITA PRECINCT 319,12,81,150
WICHITA PRECINCT 407,9,38,43
,,,
TOTALS,312,2056,3389
,,,
KANSAS HOUSE DISTRICT 087,FLORQUIST,KAHRS,TALBERT
,DEMOCRATIC,REPUBLICAN,LIBERTARIAN
,,,
WICHITA PRECINCT 121,307,423,43
WICHITA PRECINCT 206,129,141,19
WICHITA PRECINCT 211,214,365,29
WICHITA PRECINCT 212,416,701,45
WICHITA PRECINCT 213,363,863,73
WICHITA PRECINCT 214,300,825,48
WICHITA PRECINCT 215,536,993,58
WICHITA PRECINCT 223,302,879,40
WICHITA PRECINCT 224,490,668,73
WICHITA PRECINCT 234,88,79,11
MINNEHA PRECINCT 04,1,2,1
,,,
TOTALS,3146,5939,440
,,,
KANSAS HOUSE DISTRICT 088,SCAPA,SLOOP,
,REPUBLICAN,DEMOCRATIC,
,,,
WICHITA PRECINCT 207,568,615,
WICHITA PRECINCT 208,172,185,
WICHITA PRECINCT 209,367,494,
WICHITA PRECINCT 210,467,553,
WICHITA PRECINCT 225,751,603,
WICHITA PRECINCT 231,192,289,
WICHITA PRECINCT 235,130,179,
WICHITA PRECINCT 309,349,558,
WICHITA PRECINCT 320,80,76,
MINNEHA PRECINCT 09,133,85,
MINNEHA PRECINCT 12,17,30,
,,,
TOTALS,3226,3667,
,,,
KANSAS HOUSE DISTRICT 089,BANKS,HOUSTON,
,REPUBLICAN,DEMOCRATIC,
,,,
WICHITA PRECINCT 112,279,723,
WICHITA PRECINCT 117,57,892,
WICHITA PRECINCT 118,125,892,
WICHITA PRECINCT 119,211,616,
WICHITA PRECINCT 120,256,529,
WICHITA PRECINCT 123,52,46,
WICHITA PRECINCT 126,107,82,
WICHITA PRECINCT 127,123,85,
WICHITA PRECINCT 131,6,4,
WICHITA PRECINCT 132,6,12,
BEL AIRE PRECINCT 01,754,463,
BEL AIRE PRECINCT 02,592,465,
KECHI PRECINCT 01,4,3,
KECHI PRECINCT 08,10,2,
PARK CITY WARD 02 PRECINCT 02,4,2,
PARK CITY WARD 04 PRECINCT 03,119,102,
,,,
TOTALS,2705,4918,
,,,
KANSAS HOUSE DISTRICT 090,HUEBERT,MATTHEWS,
,REPUBLICAN,DEMOCRATIC,
,,,
WICHITA PRECINCT 527,845,360,
EAGLE,303,123,
GRANT PRECINCT 01,399,76,
GRANT PRECINCT 02,160,40,
GREELEY,324,98,
LINCOLN,193,57,
PARK PRECINCT 05,882,356,
PARK CITY WARD 01 PRECINCT 03,124,44,
SHERMAN,563,129,
UNION PRECINCT 01,821,118,
UNION PRECINCT 02,64,11,
VALLEY CENTER TOWNSHIP,335,106,
VALLEY CENTER WARD 01 PRECINCT 01,583,141,
VALLEY CENTER WARD 02 PRECINCT 01,529,170,
VALLEY CENTER WARD 03 PRECINCT 01,515,116,
VALLEY CENTER WARD 04 PRECINCT 01,410,110,
,,,
TOTALS,7050,2055,
,,,
KANSAS HOUSE DISTRICT 091,DELVAUX,SUELLENTROP,
,DEMOCRATIC,REPUBLICAN,
,,,
WICHITA PRECINCT 512,517,1552,
WICHITA PRECINCT 618,171,238,
WICHITA PRECINCT 620,224,335,
WICHITA PRECINCT 621,6,14,
WICHITA PRECINCT 622,134,415,
WICHITA PRECINCT 623,292,649,
WICHITA PRECINCT 628,179,439,
KECHI PRECINCT 03,260,529,
KECHI PRECINCT 04,11,24,
KECHI PRECINCT 07,7,14,
PAYNE PRECINCT 01,57,185,
PAYNE PRECINCT 02,49,98,
PARK CITY WARD 01 PRECINCT 01,156,324,
PARK CITY WARD 01 PRECINCT 02,33,64,
PARK CITY WARD 02 PRECINCT 01,238,463,
PARK CITY WARD 03 PRECINCT 01,175,244,
PARK CITY WARD 04 PRECINCT 01,125,202,
VALLEY CENTER WARD 03 PRECINCT 02,58,160,
,,,
TOTALS,2692,5949,
,,,
KANSAS HOUSE DISTRICT 092,DILLMORE,LANDWEHR,
,DEMOCRATIC,REPUBLICAN,
,,,
WICHITA PRECINCT 606,163,173,
WICHITA PRECINCT 607,871,445,
WICHITA PRECINCT 608,589,220,
WICHITA PRECINCT 609,952,590,
WICHITA PRECINCT 610,523,636,
WICHITA PRECINCT 611,295,317,
WICHITA PRECINCT 613,533,591,
WICHITA PRECINCT 619,550,581,
,,,
TOTALS,4476,3553,