PRECINCT,MASTERSON,,
,REPUBLICAN,,
,,,
WICHITA PRECINCT 122,836,,
WICHITA PRECINCT 208,232,,
WICHITA PRECINCT 218,1282,,
WICHITA PRECINCT 226,1213,,
WICHITA PRECINCT 228,885,,
WICHITA PRECINCT 233,321,,
WICHITA PRECINCT 236,625,,
BEL AIRE PRECINCT 03,545,,
DERBY WARD 01 PRECINCT 03,132,,
DERBY WARD 02 PRECINCT 02,490,,
DERBY WARD 03 PRECINCT 06,793,,
DERBY WARD 04 PRECINCT 02,863,,
DERBY WARD 04 PRECINCT 04,460,,
GREELEY PRECINCT 01,1146,,
GREELEY PRECINCT 02,47,,
LINCOLN,206,,
MINNEHA PRECINCT 03,89,,
MINNEHA PRECINCT 07,9,,
MINNEHA PRECINCT 08,22,,
PAYNE PRECINCT 01,359,,
PAYNE PRECINCT 02,51,,
ROCKFORD PRECINCT 01,272,,
ROCKFORD PRECINCT 02,41,,
,,,
TOTALS,10919,,
,,,
,O'DONNELL,SNOW,THOMAS
,REPUBLICAN,DEMOCRATIC,LIBERTARIAN
,,,
WICHITA PRECINCT 101,433,440,84
WICHITA PRECINCT 102,149,175,25
WICHITA PRECINCT 128,53,99,17
WICHITA PRECINCT 129,81,118,31
WICHITA PRECINCT 130,223,289,67
WICHITA PRECINCT 301,188,216,32
WICHITA PRECINCT 302,352,399,71
WICHITA PRECINCT 303,192,167,28
WICHITA PRECINCT 304,177,192,33
WICHITA PRECINCT 401,226,205,46
WICHITA PRECINCT 402,114,102,20
WICHITA PRECINCT 403,220,162,35
WICHITA PRECINCT 404,414,437,72
WICHITA PRECINCT 405,435,360,72
WICHITA PRECINCT 406,355,337,50
WICHITA PRECINCT 407,40,40,12
WICHITA PRECINCT 408,337,343,54
WICHITA PRECINCT 409,213,189,35
WICHITA PRECINCT 410,220,223,47
WICHITA PRECINCT 602,215,201,53
WICHITA PRECINCT 603,332,274,47
WICHITA PRECINCT 604,641,464,91
WICHITA PRECINCT 605,232,173,39
WICHITA PRECINCT 606,168,156,24
WICHITA PRECINCT 607,463,744,96
WICHITA PRECINCT 609,586,823,112
WICHITA PRECINCT 610,596,426,93
WICHITA PRECINCT 611,287,275,54
WICHITA PRECINCT 612,655,438,73
WICHITA PRECINCT 613,550,475,66
WICHITA PRECINCT 624,38,47,8
WICHITA PRECINCT 625,141,74,20
,,,
TOTALS,9326,9063,1607
,,,
,KERSCHEN,,
,REPUBLICAN,,
,,,
WICHITA PRECINCT 316,685,,
WICHITA PRECINCT 317,8,,
WICHITA PRECINCT 318,21,,
WICHITA PRECINCT 411,392,,
WICHITA PRECINCT 412,1297,,
WICHITA PRECINCT 413,991,,
WICHITA PRECINCT 414,174,,
WICHITA PRECINCT 416,655,,
WICHITA PRECINCT 424,564,,
WICHITA PRECINCT 425,679,,
WICHITA PRECINCT 426,179,,
WICHITA PRECINCT 520,335,,
WICHITA PRECINCT 521,566,,
WICHITA PRECINCT 532,1058,,
WICHITA PRECINCT 533,203,,
WICHITA PRECINCT 535,13,,
AFTON,612,,
ATTICA PRECINCT 01,52,,
ATTICA PRECINCT 02,101,,
ATTICA PRECINCT 08,39,,
DERBY WARD 01 PRECINCT 05,30,,
DERBY WARD 02 PRECINCT 05,45,,
DERBY WARD 03 PRECINCT 07,125,,
DERBY WARD 04 PRECINCT 01,346,,
DERBY WARD 04 PRECINCT 03,23,,
DELANO PRECINCT 03,2,,
DELANO PRECINCT 04,1,,
GRANT,801,,
GRAND,243,,
GODDARD,1307,,
HAYSVILLE WARD 01 PRECINCT 01,570,,
HAYSVILLE WARD 02 PRECINCT 01,608,,
HAYSVILLE WARD 02 PRECINCT 02,78,,
HAYSVILLE WARD 03 PRECINCT 01,717,,
HAYSVILLE WARD 03 PRECINCT 02,22,,
HAYSVILLE WARD 04 PRECINCT 01,596,,
HAYSVILLE WARD 04 PRECINCT 02,153,,
ILLINOIS PRECINCT 01,375,,
ILLINOIS PRECINCT 02,298,,
MORTON,859,,
MULVANE PRECINCT 01,437,,
MULVANE PRECINCT 02,1127,,
NINNESCAH PRECINCT 01,860,,
OHIO PRECINCT 01,478,,
RIVERSIDE PRECINCT 01,10,,
RIVERSIDE PRECINCT 02,20,,
RIVERSIDE PRECINCT 06,98,,
ROCKFORD PRECINCT 03,218,,
ROCKFORD PRECINCT 04,23,,
SALEM PRECINCT 01,723,,
SALEM PRECINCT 02,518,,
WACO PRECINCT 01,59,,
WACO PRECINCT 02,141,,
WACO PRECINCT 03,47,,
WACO PRECINCT 04,11,,
,,,
TOTALS,20593,,
,,,
KANSAS SENATE DISTRICT 27,CUBBAGE,DONOVAN,
,DEMOCRATIC,REPUBLICAN,
,,,
WICHITA PRECINCT 501,27,66,
WICHITA PRECINCT 502,130,310,
WICHITA PRECINCT 503,452,594,
WICHITA PRECINCT 504,401,445,
WICHITA PRECINCT 506,484,740,
WICHITA PRECINCT 507,487,725,
WICHITA PRECINCT 508,446,613,
WICHITA PRECINCT 509,340,654,
WICHITA PRECINCT 510,336,938,
WICHITA PRECINCT 511,21,79,
WICHITE PRECINCT 512,655,1458,
WICHITA PRECINCT 513,106,418,
WICHITA PRECINCT 514,510,951,
WICHITA PRECINCT 515,456,761,
WICHITA PRECINCT 516,347,498,
WICHITA PRECINCT 517,371,499,
WICHITA PRECINCT 518,448,671,
WICHITA PRECINCT 519,473,678,
WICHITA PRECINCT 522,365,711,
WICHITA PRECINCT 523,356,728,
WICHITA PRECINCT 524,633,1094,
WICHITA PRECINCT 525,546,671,
WICHITA PRECINCT 526,406,760,
WICHITA PRECINCT 527,416,843,
WICHITA PRECINCT 529,211,483,
WICHITA PRECINCT 530,279,858,
WICHITA PRECINCT 531,528,1290,
WICHITA PRECINCT 538,55,151,
WICHITA PRECINCT 621,4,16,
ATTICA PRECINCT 03,67,256,
ATTICA PRECINCT 05,65,176,
ATTICA PRECINCT 06,3,39,
ATTICA PRECINCT 07,41,89,
DELANO PRECINCT 02,1,2,
GODDARD PRECINCT 01,6,26,
PAYNE PRECINCT 02,52,96,
PAYNE PRECINCT 04,0,2,
SHERMAN,211,529,
IJNION PRECINCT 01,172,792,
UNION PRECINCT 02,15,63,
,,,
TOTALS,10922,20773,
,,,
KANSAS SENATE DISTRICT 28,HUMPHREY,PETERSEN,
,DEMOCRATIC,REPUBLICAN,
,,,
WICHITA PRECINCT 305,674,601,
WICHITA PRECINCT 309,518,387,
WICHITA PRECINCT 310,210,136,
WICHITA PRECINCT 311,216,234,
WICHITA PRECINCT 312,194,198,
WICHITA PRECINCT 313,481,428,
WICHITA PRECINCT 314,478,516,
WICHITA PRECINCT 315,418,407,
WICHITA PRECINCT 319,129,109,
WICHITA PRECINCT 320,66,92,
WICHITA PRECINCT 321,24,0,
WICHITA PRECINCT 323,155,79,
WICHITA PRECINCT 324,150,119,
WICHITA PRECINCT 325,37,12,
WICHITA PRECINCT 326,32,53,
WICHITA PRECINCT 417,307,340,
WICHITA PRECINCT 418,436,503,
WICHITA PRECINCT 419,398,443,
WICHITA PRECINCT 420,396,458,
WICHITA PRECINCT 421,441,391,
WICHITA PRECINCT 422,247,309,
WICHITA PRECINCT 423,345,401,
WICHITA PRECINCT 429,268,233,
DERBY WARD 01 PRECINCT 01,436,769,
DERBY WARD 01 PRECINCT 02,253,434,
DERBY WARD 01 PRECINCT 04,150,253,
DERBY WARD 02 PRECINCT 01,276,422,
DERBY WARD 02 PRECINCT 03,110,241,
DERBY WARD 02 PRECINCT 06,174,277,
DERBY WARD 03 PRECINCT 01,142,201,
DERBY WARD 03 PRECINCT 02,95,133,
DERBY WARD 03 PRECINCT 04,80,118,
RIVERSIDE PRECINCT 03,135,212,
RIVERSIDE PRECINCT 04,20,25,
RIVERSIDE PRECINCT 07,2,5,
,68,91,
,128,76,
,163,147,
,,,
TOTALS,8852,9853,
,,,
KANSAS SENATE DISTRICT 29,COX,FAUST-GOUDEAU,KRAMER
,REPUBLICAN,DEMOCRATIC,LIBERTARIAN
,,,
WICHITA PRECINCT 103,39,49,8
WICHITA PRECINCT 104,18,13,5
WICHITA PRECINCT 105,176,321,52
WICHITA PRECINCT 106,95,157,33
WICHITA PRECINCT 107,125,519,37
WICHITA PRECINCT 108,254,408,62
WICHITA PRECINCT 109,276,693,52
WICHITA PRECINCT 112,309,702,55
WICHITA PRECINCT 113,88,646,24
WICHITA PRECINCT 114,65,675,9
WICHITA PRECINCT 116,113,993,33
WICHITA PRECINCT 117,96,902,16
WICHITA PRECINCT 118,201,844,30
WICHITA PRECINCT 119,240,587,38
WICHITA PRECINCT 120,288,505,43
WICHITA PRECINCT 132,9,8,1
WICHITA PRECINCT 201,562,555,120
WICHITA PRECINCT 202,622,515,83
WICHITA PRECINCT 601,226,385,49
WICHITA PRECINCT 608,237,495,76
WICHITA PRECINCT 614,218,442,54
WICHITA PRECINCT 615,106,271,19
WICHITA PRECINCT 616,128,214,31
WICHITA PRECINCT 618,215,159,40
WICHITA PRECINCT 619,556,445,96
WICHITA PRECINCT 620,308,217,54
,,,
TOTALS,5570,11720,1120
,,,
KANSAS SENATE DISTRICT 30,CANTWELL,WAGLE,
,DEMOCRATIC,REPUBLICAN,
,,,
WICHITA PRECINCT 110,129,190,
WICHITA PRECINCT 121,331,462,
WICHITA PRECINCT 203,425,525,
WICHITA PRECINCT 204,358,498,
WICHITA PRECINCT 205,231,119,
WICHITA PRECINCT 206,147,158,
WICHITA PRECINCT 207,537,649,
WICHITA PRECINCT 209,431,434,
WICHITA PRECINCT 210,488,529,
WICHITA PRECINCT 211,241,382,
WICHITA PRECINCT 212,443,739,
WICHITA PRECINCT 213,402,919,
WICHITA PRECINCT 214,357,836,
WICHITA PRECINCT 215,597,1035,
WICHITA PRECINCT 216,343,647,
WICHITA PRECINCT 217,348,926,
WICHITA PRECINCT 221,223,540,
WICHITA PRECINCT 222,274,680,
WICHITA PRECINCT 223,339,907,
WICHITA PRECINCT 224,540,716,
WICHITA PRECINCT 225,550,807,
WICHITA PRECINCT 227,301,911,
WICHITA PRECINCT 231,276,207,
WICHITA PRECINCT 234,99,86,
WICHITA PRECINCT 235,156,146,
WICHITA PRECINCT 306,675,588,
WICHITA PRECINCT 307,322,234,
WICHITA PRECINCT 308,537,425,
MINNEHA PRECINCT 01,224,922,
MINNEHA PRECINCT 02,129,331,
MINNEHA PRECINCT 04,1,3,
MINNEHA PRECINCT 09,72,149,
MINNEHA PRECINCT 11,1,0,
,,,
TOTALS,10527,16700,
,,,
KANSAS SENATE DISTRICT 31,MCGINN,,
,REPUBLICAN,,
,,,
WICHITA PRECINCT 123,71,,
WICHITA PRECINCT 126,142,,
WICHITA PRECINCT 127,170,,
WICHITA PRECINCT 131,7,,
WICHITA PRECINCT 534,82,,
WICHITA PRECINCT 622,451,,
WICHITA PRECINCT 623,772,,
WICHITA PRECINCT 626,3,,
WICHITA PRECINCT 627,68,,
WICHITA PRECINCT 628,493,,
BEL AIRE PRECINCT 01,1018,,
BEL AIRE PRECINCT 02,849,,
EAGLE,364,,
GRANT PRECINCT 01,395,,
GRANT PRECINCT 02,170,,
GREELEY,379,,
KECHI PRECINCT 01,5,,
KECHI PRECINCT 03,620,,
KECHI PRECINCT 04,27,,
KECHI PRECINCT 07,15,,
KECHI PRECINCT 08,11,,
PARK PRECINCT 01,215,,
PARK PRECINCT 05,1030,,
PARK PRECINCT 06,48,,
PARK CITY WARD 01 PRECINCT 01,395,,
PARK CITY WARD 01 PRECINCT 02,67,,
PARK CITY WARD 01 PRECINCT 03,147,,
PARK CITY WARD 02 PRECINCT 01,573,,
PARK CITY WARD 02 PRECINCT 02,5,,
PARK CITY WARD 03 PRECINCT 01,327,,
PARK CITY WARD 04 PRECINCT 01,252,,
PARK CITY WARD 04 PRECINCT 03,179,,
VALLEY CENTER TOWNSHIP,378,,
VALLEY CENTER WARD 01 PRECINCT 01,642,,
VALLEY CENTER WARD 02 PRECINCT 01,600,,
VALLEY CENTER WARD 03 PRECINCT 01,544,,
VALLEY CENTER WARD 03 PRECINCT 02,175,,
VALLEY CENTER WARD 04 PRECINCT 01,442,,
,,,
TOTALS,12131,,
,,,
KANSAS SENATE DISTRICT 31,ABRAMS,,
,REPUBLICAN,,
,,,
ERIE,28,,
NINNESCAH PRECINCT 01,159,,
VIOLA,169,,
,,,
TOTALS,356,,