Precinct,,State Senator 6th District,,,,,,State Senator 10th District,,,,,State Representative 31st District,,,,,,,
,,Dem Pat Pettey,,Rep Diana Whittington,,Write-in Totals,,Dem Lindsey Constance,,Rep Mike Thompson,Write-in Totals,,Rep Landon Griffith,Dem Louis E. Ruiz,Write-in Totals,,,,,
ED 2-1,,113,,144,,1,,,,,,,,,,,,,,
KC 4-4,,412,,118,,1,,,,,,,,,,,,,,
KC 5-2,,139,,46,,1,,,,,,,,,,,,,,
KC 5-3,,150,,35,,1,,,,,,,,,,,,,,
KC 5-4,,150,,54,,0,,,,,,,,,,,,,,
KC 5-5,,198,,65,,0,,,,,,,,,,,,,,
KC 6-1,,209,,95,,4,,,,,,,,,,,,,,
KC 6-2,,65,,37,,0,,,,,,,,,,,,,,
KC 7-1,,191,,124,,1,,,,,,,115,198,1,,,,,
KC 7-2,,220,,67,,5,,,,,,,63,227,4,,,,,
KC 7-3,,269,,79,,3,,,,,,,80,268,1,,,,,
KC 7-4,,325,,258,,2,,,,,,,,,,,,,,
KC 7-5,,76,,34,,0,,,,,,,30,79,0,,,,,
KC 7-6,,505,,193,,0,,,,,,,178,513,5,,,,,
KC 7-7,,174,,52,,1,,,,,,,54,171,1,,,,,
KC 7-8,,624,,261,,3,,,,,,,,,,,,,,
KC 7-9,,394,,300,,3,,,,,,,,,,,,,,
KC 8-1,,450,,126,,0,,,,,,,109,466,1,,,,,
KC 8-2,,529,,108,,1,,,,,,,112,515,2,,,,,
KC 8-3,,637,,184,,5,,,,,,,191,634,4,,,,,
KC 8-4,,452,,167,,2,,,,,,,150,468,1,,,,,
KC 9-2,,286,,137,,0,,,,,,,,,,,,,,
KC 9-5,,9,,19,,0,,,,,,,,,,,,,,
KC 9-7,,278,,226,,3,,,,,,,,,,,,,,
KC 9-9,,125,,97,,0,,,,,,,,,,,,,,
KC 9-10,,452,,235,,1,,,,,,,,,,,,,,
KC 9-11,,534,,189,,3,,,,,,,,,,,,,,
KC 9-12,,344,,285,,0,,,,,,,,,,,,,,
KC 9-13,,207,,223,,0,,,,,,,,,,,,,,
KC 9-14,,268,,285,,2,,,,,,,,,,,,,,
KC 11-12,,109,,61,,0,,,,,,,,,,,,,,
Precinct,,State Senator 6th District,,,,,,State Senator 10th District,,,,,State Representative 31st District,,,,,,,
,,Dem Pat Pettey,,Rep Diana Whittington,,Write-in Totals,,Dem Lindsey Constance,,Rep Mike Thompson,Write-in Totals,,Rep Landon Griffith,Dem Louis E. Ruiz,Write-in Totals,,,,,
KC 12-1,,416,,191,,0,,,,,,,185,426,0,,,,,
KC 12-2,,208,,84,,1,,,,,,,75,218,0,,,,,
KC 12-3,,399,,183,,1,,,,,,,186,392,0,,,,,
KC 12-4,,380,,242,,1,,,,,,,257,354,5,,,,,
KC 12-5,,302,,277,,1,,,,,,,285,282,6,,,,,
KC 12-6,,334,,246,,1,,,,,,,,,,,,,,
KC 12-7,,313,,195,,1,,,,,,,,,,,,,,
KC 12-8,,358,,242,,2,,,,,,,,,,,,,,
KC 12-9,,358,,212,,2,,,,,,,,,,,,,,
KC 12-10,,172,,231,,1,,,,,,,,,,,,,,
KC 12-11,,79,,134,,0,,,,,,,,,,,,,,
KC 14-16,,228,,140,,0,,,,,,,,,,,,,,
QC 1-1,,,,,,,,10,,15,0,,,,,,,,,
Totals,,"12,441",,"6,681",,54,,10,,15,0,,"2,070","5,211",31,,,,,
Precinct,,State Representative 32nd District,,,,,,State Representative 33rd District,,,,,,State Representative 34th District,,,,,,
,,Rep Greg Conchola,,Dem Pam Curtis,,Write-in Totals,,Dem Tom Burroughs,,Rep Jordan Michael Mackey,Lib Rick Parsons,,Write-in Totals,Dem Valdenia C. Winn,Write-in Totals,,,,,
BS 1-1,,,,,,,,327,,394,103,,1,,,,,,,
BS 2-1,,,,,,,,238,,313,85,,0,,,,,,,
BS 3-1,,,,,,,,357,,397,127,,2,,,,,,,
BS 4-1,,,,,,,,521,,516,155,,1,,,,,,,
DE 1-1,,,,,,,,5,,16,4,,0,,,,,,,
ED 1-1,,,,,,,,636,,779,151,,2,,,,,,,
ED 2-1,,,,,,,,105,,130,22,,1,,,,,,,
KC 1-2,,,,,,,,,,,,,,136,1,,,,,
KC 1-3,,25,,118,,0,,,,,,,,,,,,,,
KC 2-3,,,,,,,,,,,,,,35,0,,,,,
KC 2-4,,,,,,,,,,,,,,181,0,,,,,
KC 2-5,,,,,,,,,,,,,,301,6,,,,,
KC 3-4,,,,,,,,,,,,,,309,5,,,,,
KC 4-1,,93,,319,,0,,,,,,,,,,,,,,
KC 4-2,,33,,113,,0,,,,,,,,,,,,,,
KC 4-3,,68,,234,,2,,,,,,,,,,,,,,
KC 4-4,,124,,412,,1,,,,,,,,,,,,,,
KC 5-1,,95,,387,,2,,,,,,,,,,,,,,
KC 5-2,,46,,139,,1,,,,,,,,,,,,,,
KC 5-3,,36,,149,,1,,,,,,,,,,,,,,
KC 5-4,,62,,145,,0,,,,,,,,,,,,,,
KC 5-5,,66,,198,,0,,,,,,,,,,,,,,
KC 6-1,,101,,206,,4,,,,,,,,,,,,,,
KC 6-2,,37,,63,,0,,,,,,,,,,,,,,
KC 9-1,,27,,58,,0,,,,,,,,,,,,,,
KC 9-2,,145,,281,,2,,,,,,,,,,,,,,
KC 9-8,,,,,,,,230,,71,13,,2,,,,,,,
KC 9-9,,,,,,,,120,,85,15,,1,,,,,,,
KC 9-10,,,,,,,,442,,199,43,,0,,,,,,,
KC 9-11,,,,,,,,524,,160,41,,5,,,,,,,
KC 9-12,,,,,,,,324,,246,65,,0,,,,,,,
Precinct,,State Representative 32nd District,,,,,,State Representative 33rd District,,,,,,State Representative 34th District,,,,,,
,,Rep Greg Conchola,,Dem Pam Curtis,,Write-in Totals,,Dem Tom Burroughs,,Rep Jordan Michael Mackey,Lib Rick Parsons,,Write-in Totals,Dem Valdenia C. Winn,Write-in Totals,,,,,
KC 9-13,,,,,,,,204,,192,36,,2,,,,,,,
KC 9-14,,,,,,,,264,,244,44,,2,,,,,,,
KC 9-16,,,,,,,,765,,526,110,,3,,,,,,,
KC 10-3,,,,,,,,,,,,,,32,0,,,,,
KC 10-4,,,,,,,,,,,,,,263,3,,,,,
KC 10-5,,,,,,,,,,,,,,492,10,,,,,
KC 11-2,,,,,,,,,,,,,,385,6,,,,,
KC 11-3,,,,,,,,,,,,,,571,24,,,,,
KC 11-4,,,,,,,,,,,,,,464,10,,,,,
KC 11-5,,,,,,,,,,,,,,486,18,,,,,
KC 11-6,,,,,,,,,,,,,,397,12,,,,,
KC 11-7,,,,,,,,,,,,,,305,8,,,,,
KC 11-8,,,,,,,,,,,,,,454,10,,,,,
KC 12-11,,,,,,,,83,,118,11,,1,,,,,,,
KC 13-4,,,,,,,,,,,,,,294,3,,,,,
KC 13-9,,,,,,,,,,,,,,439,19,,,,,
QC 1-1,,,,,,,,11,,12,2,,0,,,,,,,
Totals,,958,,"2,822",,13,,"5,156",,"4,398","1,027",,23,"5,544",135,,,,,
Precinct,,State Representative 35th District,,,,,,State Representative 36th District,,,,,State Representative 37th District,,29th District Judge Division 1,,,,,
,,Dem Broderick Henderson,,Rep Mark David Snelson,,Write-in Totals,,Rep Mark Gilstrap,,Dem Kathy Wolfe Moore,Write-in Totals,,Dem Aaron Coleman,Write-in Totals,Dem Robert P. Burns,Write-in Totals,,,,
BS 1-1,,,,,,,,,,,,,,,568,23,,,,
BS 2-1,,,,,,,,,,,,,,,427,28,,,,
BS 3-1,,,,,,,,,,,,,,,619,24,,,,
BS 4-1,,,,,,,,,,,,,,,814,47,,,,
DE 1-1,,,,,,,,,,,,,,,14,1,,,,
ED 1-1,,,,,,,,,,,,,,,"1,026",66,,,,
ED 2-1,,,,,,,,,,,,,,,172,6,,,,
KC 1-1,,118,,13,,0,,,,,,,,,122,0,,,,
KC 1-2,,,,,,,,,,,,,,,133,0,,,,
KC 1-3,,,,,,,,,,,,,,,118,4,,,,
KC 2-1,,191,,62,,1,,,,,,,,,209,3,,,,
KC 2-2,,160,,12,,0,,,,,,,,,150,4,,,,
KC 2-3,,,,,,,,,,,,,,,34,0,,,,
KC 2-4,,,,,,,,,,,,,,,169,1,,,,
KC 2-5,,,,,,,,,,,,,,,284,5,,,,
KC 3-1,,433,,29,,0,,,,,,,,,414,5,,,,
KC 3-2,,427,,21,,1,,,,,,,,,404,5,,,,
KC 3-3,,74,,10,,0,,,,,,,,,70,2,,,,
KC 3-4,,,,,,,,,,,,,,,301,0,,,,
KC 4-1,,,,,,,,,,,,,,,344,7,,,,
KC 4-2,,,,,,,,,,,,,,,128,3,,,,
KC 4-3,,,,,,,,,,,,,,,254,9,,,,
KC 4-4,,,,,,,,,,,,,,,454,8,,,,
KC 5-1,,,,,,,,,,,,,,,424,5,,,,
KC 5-2,,,,,,,,,,,,,,,165,4,,,,
KC 5-3,,,,,,,,,,,,,,,163,2,,,,
KC 5-4,,,,,,,,,,,,,,,167,6,,,,
KC 5-5,,,,,,,,,,,,,,,215,5,,,,
KC 6-1,,,,,,,,,,,,,,,237,13,,,,
KC 6-2,,,,,,,,,,,,,,,70,1,,,,
KC 7-1,,,,,,,,,,,,,,,246,9,,,,
Precinct,,State Representative 35th District,,,,,,State Representative 36th District,,,,,State Representative 37th District,,29th District Judge Division 1,,,,,
,,Dem Broderick Henderson,,Rep Mark David Snelson,,Write-in Totals,,Rep Mark Gilstrap,,Dem Kathy Wolfe Moore,Write-in Totals,,Dem Aaron Coleman,Write-in Totals,Dem Robert P. Burns,Write-in Totals,,,,
KC 7-2,,,,,,,,,,,,,,,248,6,,,,
KC 7-3,,,,,,,,,,,,,,,285,10,,,,
KC 7-4,,,,,,,,,,,,,266,238,399,27,,,,
KC 7-5,,,,,,,,,,,,,,,87,5,,,,
KC 7-6,,,,,,,,,,,,,,,579,10,,,,
KC 7-7,,,,,,,,,,,,,,,188,4,,,,
KC 7-8,,,,,,,,,,,,,530,238,688,31,,,,
KC 7-9,,,,,,,,,,,,,329,271,492,26,,,,
KC 8-1,,,,,,,,,,,,,,,503,7,,,,
KC 8-2,,,,,,,,,,,,,,,561,14,,,,
KC 8-3,,,,,,,,,,,,,,,686,22,,,,
KC 8-4,,,,,,,,,,,,,,,512,11,,,,
KC 9-1,,,,,,,,,,,,,,,65,1,,,,
KC 9-2,,,,,,,,,,,,,,,342,10,,,,
KC 9-3,,,,,,,,,,,,,605,125,699,15,,,,
KC 9-4,,,,,,,,,,,,,71,9,74,7,,,,
KC 9-5,,,,,,,,,,,,,9,7,13,2,,,,
KC 9-6,,,,,,,,,,,,,383,63,414,15,,,,
KC 9-7,,,,,,,,,,,,,306,103,354,14,,,,
KC 9-8,,,,,,,,,,,,,,,259,3,,,,
KC 9-9,,,,,,,,,,,,,,,171,9,,,,
KC 9-10,,,,,,,,,,,,,,,546,20,,,,
KC 9-11,,,,,,,,,,,,,,,632,17,,,,
KC 9-12,,,,,,,,,,,,,,,448,32,,,,
KC 9-13,,,,,,,,,,,,,,,293,23,,,,
KC 9-14,,,,,,,,,,,,,,,372,22,,,,
KC 9-15,,,,,,,,0,,0,0,,,,0,0,,,,
KC 9-16,,,,,,,,,,,,,,,"1,108",45,,,,
KC 10-1,,415,,19,,2,,,,,,,,,405,4,,,,
KC 10-2,,641,,76,,1,,,,,,,,,652,6,,,,
KC 10-3,,,,,,,,,,,,,,,30,1,,,,
Precinct,,State Representative 35th District,,,,,,State Representative 36th District,,,,,State Representative 37th District,,29th District Judge Division 1,,,,,
,,Dem Broderick Henderson,,Rep Mark David Snelson,,Write-in Totals,,Rep Mark Gilstrap,,Dem Kathy Wolfe Moore,Write-in Totals,,Dem Aaron Coleman,Write-in Totals,Dem Robert P. Burns,Write-in Totals,,,,
KC 10-4,,,,,,,,,,,,,,,247,6,,,,
KC 10-5,,,,,,,,,,,,,,,491,2,,,,
KC 11-1,,502,,89,,2,,,,,,,,,523,5,,,,
KC 11-2,,,,,,,,,,,,,,,376,6,,,,
KC 11-3,,,,,,,,,,,,,,,577,15,,,,
KC 11-4,,,,,,,,,,,,,,,446,8,,,,
KC 11-5,,,,,,,,,,,,,,,481,16,,,,
KC 11-6,,,,,,,,,,,,,,,378,11,,,,
KC 11-7,,,,,,,,,,,,,,,304,5,,,,
KC 11-8,,,,,,,,,,,,,,,458,8,,,,
KC 11-9,,,,,,,,94,,387,1,,,,409,7,,,,
KC 11-10,,,,,,,,120,,531,0,,,,553,10,,,,
KC 11-11,,,,,,,,223,,535,1,,,,591,13,,,,
KC 11-12,,,,,,,,63,,111,0,,,,142,3,,,,
KC 12-1,,,,,,,,,,,,,,,483,11,,,,
KC 12-2,,,,,,,,,,,,,,,242,6,,,,
KC 12-3,,,,,,,,,,,,,,,464,13,,,,
KC 12-4,,,,,,,,,,,,,,,450,22,,,,
KC 12-5,,,,,,,,,,,,,,,398,25,,,,
KC 12-6,,,,,,,,,,,,,294,175,404,14,,,,
KC 12-7,,,,,,,,,,,,,260,163,356,10,,,,
KC 12-8,,,,,,,,,,,,,236,259,401,29,,,,
KC 12-9,,,,,,,,,,,,,240,227,397,10,,,,
KC 12-10,,,,,,,,,,,,,120,195,227,21,,,,
KC 12-11,,,,,,,,,,,,,,,123,5,,,,
KC 13-1,,479,,95,,3,,,,,,,,,494,9,,,,
KC 13-2,,351,,148,,1,,,,,,,,,408,21,,,,
KC 13-3,,343,,99,,1,,,,,,,,,377,8,,,,
KC 13-4,,,,,,,,,,,,,,,283,3,,,,
KC 13-5,,358,,142,,3,,,,,,,,,417,13,,,,
KC 13-6,,327,,146,,1,,,,,,,,,388,5,,,,
Precinct,,State Representative 35th District,,,,,,State Representative 36th District,,,,,State Representative 37th District,,29th District Judge Division 1,,,,,
,,Dem Broderick Henderson,,Rep Mark David Snelson,,Write-in Totals,,Rep Mark Gilstrap,,Dem Kathy Wolfe Moore,Write-in Totals,,Dem Aaron Coleman,Write-in Totals,Dem Robert P. Burns,Write-in Totals,,,,
KC 13-7,,201,,160,,0,,,,,,,,,272,11,,,,
KC 13-8,,271,,118,,0,,,,,,,,,321,6,,,,
KC 13-9,,,,,,,,,,,,,,,445,13,,,,
KC 14-1,,,,,,,,258,,356,0,,,,453,19,,,,
KC 14-2,,198,,96,,0,,,,,,,,,240,3,,,,
KC 14-3,,205,,77,,0,,,,,,,,,230,3,,,,
KC 14-4,,,,,,,,154,,382,2,,,,432,8,,,,
KC 14-5,,,,,,,,138,,352,0,,,,400,9,,,,
KC 14-6,,,,,,,,212,,409,1,,,,496,19,,,,
KC 14-7,,,,,,,,248,,579,1,,,,676,17,,,,
KC 14-8,,,,,,,,213,,418,2,,,,506,10,,,,
KC 14-9,,,,,,,,207,,167,1,,,,255,8,,,,
KC 14-10,,,,,,,,525,,736,2,,,,942,24,,,,
KC 14-11,,,,,,,,221,,423,1,,,,486,21,,,,
KC 14-12,,,,,,,,524,,709,2,,,,897,30,,,,
KC 14-13,,,,,,,,345,,537,1,,,,691,20,,,,
KC 14-14,,,,,,,,647,,729,3,,,,988,36,,,,
KC 14-15,,,,,,,,619,,691,0,,,,922,25,,,,
KC 14-16,,,,,,,,141,,228,0,,,,288,6,,,,
QC 1-1,,,,,,,,,,,,,,,13,4,,,,
Totals,,"5,694",,"1,412",,16,,"4,952",,"8,280",18,,"3,649","2,073","43,261","1,347",,,,
