Precinct,DEM Joseph R Biden,LIB Jo Jorgensen,REP Donald J. Trump,Write-in Totals
101,601,33,488,8
102,496,25,444,10
103,141,4,62,0
104,45,3,21,1
105,456,17,212,8
106,900,24,310,6
107,958,48,480,12
108,651,26,279,6
109,784,36,349,5
110,884,29,558,16
111,193,13,170,3
112,865,32,330,8
113,714,11,130,8
114,652,11,77,7
116,921,9,76,9
117,906,15,64,3
118,1020,12,173,7
119,748,21,269,6
120,737,19,335,6
121,486,17,389,4
122,1068,43,601,10
123,144,8,94,5
126,118,2,143,1
127,250,15,279,5
128,640,41,432,10
129,152,6,107,0
130,415,29,246,5
133,22,2,16,0
205,249,20,123,0
206,205,16,153,1
207,1123,55,789,10
208,190,16,180,1
209,676,21,370,5
210,758,35,527,7
211,338,17,349,7
212,599,29,642,11
213,723,35,780,18
214,578,27,809,9
215,1034,47,982,9
216,563,30,556,6
217,607,23,786,13
218,1141,50,1228,12
221,403,20,476,13
222,792,34,1031,9
223,758,41,1048,12
224,1133,52,995,11
225,1088,47,998,14
226,1009,44,1507,19
227,432,26,664,4
228,648,36,1231,13
233,250,9,293,5
235,199,7,146,3
236,323,12,515,4
238,15,0,29,1
239,14,1,51,0
240,76,4,92,1
241,55,0,90,0
242,83,15,153,3
246,22,1,42,0
247,133,11,183,0
301,249,20,242,4
302,495,23,442,5
303,295,12,216,1
304,274,14,193,2
305,758,28,587,7
306,955,52,550,6
307,439,15,243,5
308,680,24,431,10
309,744,40,537,11
310,404,24,253,4
311,216,11,246,4
312,236,14,208,5
313,734,28,595,10
314,529,35,600,2
315,406,23,499,4
316,395,34,746,2
317,11,1,8,0
318,52,5,91,0
319,204,9,126,0
320,150,8,83,1
321,27,0,11,1
324,232,20,178,3
325,434,35,464,5
326,40,3,80,1
328,20,3,24,1
329,0,0,0,0
401,264,17,406,6
402,232,9,376,3
403,271,33,585,5
404,731,60,729,12
405,505,30,447,6
406,433,30,484,5
407,47,0,56,0
408,423,22,410,4
409,248,11,258,3
410,705,36,1534,11
412,850,62,1569,9
413,664,56,1060,5
414,196,20,324,3
416,304,26,697,5
417,368,20,429,5
418,494,36,608,2
419,402,32,513,3
420,408,40,570,3
422,251,21,407,1
423,387,38,503,7
424,186,13,205,3
425,599,31,1020,8
426,10,0,26,0
429,277,17,271,4
433,168,19,277,2
437,181,9,285,2
503,714,43,723,9
504,421,19,443,4
506,553,36,816,4
507,536,29,759,7
508,509,23,729,8
509,464,21,681,8
510,496,22,1055,6
512,1260,59,2092,18
513,476,19,838,6
514,718,38,1063,7
515,636,44,865,9
516,381,26,526,4
517,436,16,515,6
518,443,32,738,10
519,555,28,713,2
522,422,19,781,5
523,426,23,799,4
524,733,34,1166,5
525,618,44,798,4
526,580,36,939,7
527,545,32,955,6
530,475,27,1051,8
531,719,39,1446,14
534,43,6,113,2
538,134,4,344,2
539,413,21,793,12
601,783,50,360,9
602,714,38,697,10
603,255,14,625,6
604,633,43,771,6
605,223,10,252,1
606,248,11,197,9
607,1049,31,500,15
608,749,32,266,4
609,1158,48,637,12
610,608,29,650,7
611,367,27,348,3
612,809,62,833,10
613,657,33,623,1
614,377,18,280,6
615,1079,40,435,14
616,325,31,448,5
617,311,14,158,2
618,578,35,672,5
619,539,35,679,3
621,78,3,193,1
622,528,18,1057,2
623,448,31,1035,7
624,85,2,47,0
627,43,4,49,1
AF,209,17,684,3
AT01,0,0,17,1
AT02,45,5,108,1
AT03,123,3,450,2
AT05,66,5,184,1
AT06,8,1,68,1
AT08,10,1,53,1
AT12,15,3,48,0
BA01,639,37,876,17
BA02,663,28,670,11
BA03,720,39,856,12
DB11,518,48,1004,7
DB12,357,27,523,4
DB14,271,28,502,3
DB15,10,0,17,0
DB21,306,27,518,0
DB22,444,23,692,5
DB23,458,20,822,5
DB24,116,11,203,2
DB25,41,5,47,1
DB31,94,12,196,1
DB32,326,25,585,5
DB36,483,31,793,4
DB37,94,8,133,2
DB41,237,19,356,2
DB42,680,60,1454,6
EA,142,13,433,0
ER,13,0,45,0
GA,193,19,921,5
GD,50,0,311,0
GN01,221,13,635,5
GO,336,41,901,4
GO04,11,0,59,2
GO05,301,26,679,2
GR,102,22,405,4
GY01,461,34,1385,6
GY02,35,7,33,2
GY03,19,2,31,0
GY04,7,1,8,0
HA11,320,14,594,2
HA21,356,41,717,2
HA24,18,1,41,0
HA25,6,0,22,0
HA31,395,38,855,6
HA33,11,2,29,0
HA41,277,24,617,3
HA42,88,7,221,2
IL01,226,21,895,6
KE02,3,1,2,0
KE03,334,26,632,9
KE04,16,4,31,0
KE07,4,0,18,0
KE08,4,0,12,0
LI,60,6,270,1
MI01,394,15,877,10
MI02,211,11,317,2
MI03,6,1,15,0
MI05,4,0,1,0
MI07,11,0,17,0
MI08,10,0,21,1
MI09,93,5,173,0
MI12,0,0,2,0
MI14,55,0,70,1
MO,298,32,1073,4
MV01,218,19,497,0
MV02,559,53,1282,7
MV06,29,1,63,0
NI,331,38,1030,10
NI01,52,5,236,1
OH01,169,13,601,0
PA01,86,3,291,2
PA02,42,3,136,1
PA05,824,57,1593,5
PA06,18,0,45,1
PC11,229,22,483,1
PC13,93,12,223,3
PC21,376,38,602,2
PC22,6,0,26,0
PC31,266,21,440,0
PC41,201,16,304,1
PC43,153,15,194,3
President,2,0,1,0
PY01,204,24,543,3
RI01,22,0,40,0
RI03,163,14,226,2
RI06,50,5,85,0
RI07,218,16,262,3
RO01,127,7,372,5
RO03,78,7,267,1
RO04,4,1,14,0
SA01,257,15,867,4
SA02,205,23,611,1
SH,169,18,875,3
UN01,229,24,1125,2
UN02,20,1,71,1
VA,156,10,488,2
VC11,254,34,606,4
VC21,264,19,629,2
VC31,200,16,550,4
VC32,10,0,25,0
VC41,258,22,570,2
VC42,51,10,188,1
VI,53,5,228,3
WA01,13,1,62,0
WA02,64,3,216,1
WA03,6,0,14,0
WA12,0,1,1,0
Totals,95870,5402,122416,1174
