PRECINCT NAME,Barbara Bollier,Jason Buckley,Roger Marshall
Aubry Township Precinct 01,42,6,97
Aubry Township Precinct 02,377,44,579
Aubry Township Precinct 03,180,35,315
Aubry Township Precinct 04,473,66,812
Aubry Township Precinct 05,7,0,10
Aubry Township Precinct 06,34,8,80
Aubry Township Precinct 07,0,0,0
Gardner Township Precinct 01,165,27,329
Gardner Township Precinct 02,146,25,303
Gardner Township Precinct 03,0,0,0
Gardner Township Precinct 04,0,0,0
Gardner Township Precinct 05,0,0,4
Gardner Township Precinct 06,0,0,0
Gardner Township Precinct 07,1,0,2
Gardner Township Precinct 08,3,0,2
Gardner Township Precinct 09,1,0,3
Gardner Township Precinct 10,2,0,4
Gardner Township Precinct 11,50,10,77
Gardner Township Precinct 13,0,0,3
Gardner Township Precinct 14,5,0,0
Gardner Township Precinct 15,0,0,0
Gardner Township Precinct 16,4,0,9
Gardner Township Precinct 17,0,4,8
Gardner Township Precinct 18,3,0,0
Gardner Township Precinct 19,0,0,0
Gardner Township Precinct 20,1,0,3
Lexington Township Precinct 01,346,43,632
Lexington Township Precinct 02,1,0,0
Lexington Township Precinct 03,2,1,0
Lexington Township Precinct 04,0,0,0
Lexington Township Precinct 05,0,0,0
McCamish Township Precinct 01,46,13,153
McCamish Township Precinct 02,131,23,322
McCamish Township Precinct 03,0,0,0
McCamish Township Precinct 04,0,0,0
McCamish Township Precinct 05,0,0,0
Olathe Township Precinct 01,175,15,227
Olathe Township Precinct 02,21,1,45
Olathe Township Precinct 03,22,3,32
Olathe Township Precinct 04,0,0,4
Olathe Township Precinct 06,0,0,0
Olathe Township Precinct 07,0,0,0
Olathe Township Precinct 08,0,0,1
Olathe Township Precinct 09,0,0,0
Olathe Township Precinct 10,2,0,11
Olathe Township Precinct 11,0,0,5
Olathe Township Precinct 12,0,0,0
Olathe Township Precinct 13,3,0,4
Olathe Township Precinct 14,0,0,1
Olathe Township Precinct 15,0,0,0
Olathe Township Precinct 16,0,0,0
Olathe Township Precinct 17,0,0,0
Olathe Township Precinct 24,0,0,2
Olathe Township Precinct 25,0,0,7
Olathe Township Precinct 26,0,0,4
Olathe Township Precinct 27,0,0,0
Olathe Township Precinct 32,11,2,23
Oxford Township Precinct 01,0,0,1
Oxford Township Precinct 02,233,22,367
Oxford Township Precinct 03,0,0,0
Oxford Township Precinct 04,269,13,335
Oxford Township Precinct 05,1,0,18
Oxford Township Precinct 08,0,0,0
Oxford Township Precinct 09,11,5,17
Oxford Township Precinct 10,0,0,1
Oxford Township Precinct 11,49,4,97
Spring Hill Township Precinct 01,375,50,681
Spring Hill Township Precinct 02,0,0,0
Spring Hill Township Precinct 03,24,11,73
Spring Hill Township Precinct 04,3,0,20
Spring Hill Township Precinct 05,9,2,7
De Soto Precinct 01,452,90,597
De Soto Precinct 02,338,52,395
De Soto Precinct 03,427,60,659
De Soto Precinct 04,0,0,0
De Soto Precinct 05,0,0,0
De Soto Precinct 06,50,12,32
De Soto Precinct 07,0,0,0
De Soto Precinct 08,0,0,0
Edgerton Precinct 01,250,85,438
Edgerton Precinct 02,0,0,0
Edgerton Precinct 03,0,0,0
Edgerton Precinct 04,0,0,0
Edgerton Precinct 05,2,1,5
Edgerton Precinct 06,3,2,2
Edgerton Precinct 07,0,0,0
Gardner Precinct 01,639,129,909
Gardner Precinct 02,127,33,121
Gardner Precinct 03,473,120,579
Gardner Precinct 04,326,79,535
Gardner Precinct 05,0,0,0
Gardner Precinct 06,530,113,771
Gardner Precinct 07,15,1,10
Gardner Precinct 08,104,22,188
Gardner Precinct 09,624,134,857
Gardner Precinct 10,401,106,580
Gardner Precinct 11,0,0,0
Gardner Precinct 12,3,1,9
Gardner Precinct 13,407,90,537
Gardner Precinct 14,310,71,372
Gardner Precinct 15,0,0,0
Gardner Precinct 16,0,0,0
Gardner Precinct 17,0,0,0
Olathe Ward 1 Precinct 01,464,88,454
Olathe Ward 1 Precinct 02,323,58,272
Olathe Ward 1 Precinct 03,260,29,228
Olathe Ward 1 Precinct 04,503,68,460
Olathe Ward 1 Precinct 05,386,49,435
Olathe Ward 1 Precinct 06,290,31,269
Olathe Ward 1 Precinct 07,0,0,0
Olathe Ward 1 Precinct 08,812,108,705
Olathe Ward 1 Precinct 09,477,43,490
Olathe Ward 1 Precinct 10,0,0,0
Olathe Ward 1 Precinct 11,81,12,77
Olathe Ward 1 Precinct 12,0,0,0
Olathe Ward 1 Precinct 13,0,0,0
Olathe Ward 1 Precinct 14,377,45,409
Olathe Ward 1 Precinct 15,446,38,425
Olathe Ward 1 Precinct 16,598,56,653
Olathe Ward 1 Precinct 17,162,15,227
Olathe Ward 1 Precinct 18,354,38,393
Olathe Ward 1 Precinct 19,228,34,206
Olathe Ward 1 Precinct 20,307,57,281
Olathe Ward 1 Precinct 21,598,86,510
Olathe Ward 1 Precinct 22,1076,125,1302
Olathe Ward 1 Precinct 23,0,0,0
Olathe Ward 1 Precinct 24,74,10,68
Olathe Ward 1 Precinct 25,98,19,116
Olathe Ward 1 Precinct 26,4,0,1
Olathe Ward 1 Precinct 27,295,49,287
Olathe Ward 1 Precinct 28,0,0,0
Olathe Ward 2 Precinct 01,210,47,217
Olathe Ward 2 Precinct 02,436,29,382
Olathe Ward 2 Precinct 03,338,56,355
Olathe Ward 2 Precinct 04,406,61,353
Olathe Ward 2 Precinct 05,778,45,1192
Olathe Ward 2 Precinct 06,538,43,768
Olathe Ward 2 Precinct 07,969,94,1000
Olathe Ward 2 Precinct 08,615,75,446
Olathe Ward 2 Precinct 09,284,18,297
Olathe Ward 2 Precinct 10,969,111,895
Olathe Ward 2 Precinct 11,850,88,670
Olathe Ward 2 Precinct 12,373,50,330
Olathe Ward 2 Precinct 13,400,54,330
Olathe Ward 2 Precinct 14,383,51,274
Olathe Ward 2 Precinct 15,460,53,518
Olathe Ward 2 Precinct 16,159,18,115
Olathe Ward 2 Precinct 17,0,0,0
Olathe Ward 2 Precinct 18,0,0,0
Olathe Ward 2 Precinct 19,3,0,8
Olathe Ward 2 Precinct 20,0,0,0
Olathe Ward 2 Precinct 21,0,1,0
Olathe Ward 2 Precinct 22,843,76,934
Olathe Ward 2 Precinct 23,586,47,471
Olathe Ward 2 Precinct 24,2,0,0
Olathe Ward 3 Precinct 01,276,40,197
Olathe Ward 3 Precinct 02,577,84,544
Olathe Ward 3 Precinct 03,240,30,329
Olathe Ward 3 Precinct 04,469,60,491
Olathe Ward 3 Precinct 05,418,26,606
Olathe Ward 3 Precinct 06,299,30,333
Olathe Ward 3 Precinct 07,331,46,312
Olathe Ward 3 Precinct 08,465,30,482
Olathe Ward 3 Precinct 09,241,45,250
Olathe Ward 3 Precinct 10,523,53,549
Olathe Ward 3 Precinct 11,427,35,340
Olathe Ward 3 Precinct 12,0,0,0
Olathe Ward 3 Precinct 13,541,37,473
Olathe Ward 3 Precinct 14,0,0,0
Olathe Ward 3 Precinct 15,393,36,456
Olathe Ward 3 Precinct 16,433,41,432
Olathe Ward 3 Precinct 17,576,70,639
Olathe Ward 3 Precinct 18,74,4,49
Olathe Ward 3 Precinct 19,342,21,365
Olathe Ward 3 Precinct 20,331,33,452
Olathe Ward 3 Precinct 21,682,69,1061
Olathe Ward 3 Precinct 22,428,60,403
Olathe Ward 3 Precinct 23,444,74,379
Olathe Ward 3 Precinct 24,209,17,209
Olathe Ward 3 Precinct 25,0,0,2
Olathe Ward 4 Precinct 01,481,68,361
Olathe Ward 4 Precinct 02,675,30,609
Olathe Ward 4 Precinct 03,393,61,208
Olathe Ward 4 Precinct 04,316,38,228
Olathe Ward 4 Precinct 05,500,42,438
Olathe Ward 4 Precinct 06,709,86,487
Olathe Ward 4 Precinct 07,628,79,455
Olathe Ward 4 Precinct 08,495,42,417
Olathe Ward 4 Precinct 09,651,75,596
Olathe Ward 4 Precinct 10,397,49,340
Olathe Ward 4 Precinct 11,327,39,163
Olathe Ward 4 Precinct 12,751,57,648
Olathe Ward 4 Precinct 13,380,35,267
Olathe Ward 4 Precinct 14,720,59,602
Olathe Ward 4 Precinct 15,45,8,33
Olathe Ward 4 Precinct 16,220,36,144
Olathe Ward 4 Precinct 17,2,0,4
Olathe Ward 4 Precinct 18,508,54,441
Olathe Ward 4 Precinct 19,512,42,531
Spring Hill Precinct 01,835,175,1392
Spring Hill Precinct 02,0,0,0
Spring Hill Precinct 03,57,6,136
Spring Hill Precinct 04,0,0,2
Fairway Ward 1 Precinct 01,299,4,151
Fairway Ward 1 Precinct 02,213,3,102
Fairway Ward 2 Precinct 01,191,6,94
Fairway Ward 2 Precinct 02,205,4,113
Fairway Ward 3 Precinct 01,252,4,151
Fairway Ward 3 Precinct 02,238,5,132
Fairway Ward 4 Precinct 01,131,6,49
Fairway Ward 4 Precinct 02,149,7,54
Fairway Ward 4 Precinct 03,94,1,44
Fairway Ward 4 Precinct 04,137,3,47
Leawood Ward 1 Precinct 01,483,12,227
Leawood Ward 1 Precinct 02,608,14,486
Leawood Ward 1 Precinct 03,584,13,388
Leawood Ward 1 Precinct 04,499,14,317
Leawood Ward 1 Precinct 05,415,12,279
Leawood Ward 1 Precinct 06,139,3,73
Leawood Ward 1 Precinct 07,497,22,373
Leawood Ward 2 Precinct 01,424,18,352
Leawood Ward 2 Precinct 02,646,32,492
Leawood Ward 2 Precinct 03,544,32,421
Leawood Ward 2 Precinct 04,447,16,599
Leawood Ward 2 Precinct 05,337,18,283
Leawood Ward 2 Precinct 06,250,11,251
Leawood Ward 2 Precinct 07,325,13,217
Leawood Ward 3 Precinct 01,481,16,453
Leawood Ward 3 Precinct 02,558,18,421
Leawood Ward 3 Precinct 03,306,28,322
Leawood Ward 3 Precinct 04,205,6,149
Leawood Ward 3 Precinct 05,782,44,849
Leawood Ward 3 Precinct 06,722,41,829
Leawood Ward 4 Precinct 01,129,5,164
Leawood Ward 4 Precinct 02,364,6,441
Leawood Ward 4 Precinct 03,273,14,385
Leawood Ward 4 Precinct 04,525,20,477
Leawood Ward 4 Precinct 05,538,23,461
Leawood Ward 4 Precinct 06,351,31,459
Leawood Ward 4 Precinct 07,750,37,879
Lenexa Ward 1 Precinct 01,1024,117,1087
Lenexa Ward 1 Precinct 02,630,43,477
Lenexa Ward 1 Precinct 03,754,53,539
Lenexa Ward 1 Precinct 04,565,49,369
Lenexa Ward 1 Precinct 05,18,6,35
Lenexa Ward 1 Precinct 06,764,43,658
Lenexa Ward 1 Precinct 07,112,6,103
Lenexa Ward 1 Precinct 08,426,40,271
Lenexa Ward 1 Precinct 09,15,2,6
Lenexa Ward 2 Precinct 01,465,40,464
Lenexa Ward 2 Precinct 02,618,66,873
Lenexa Ward 2 Precinct 03,616,42,737
Lenexa Ward 2 Precinct 04,558,46,867
Lenexa Ward 2 Precinct 05,633,57,414
Lenexa Ward 2 Precinct 06,257,20,404
Lenexa Ward 2 Precinct 07,668,48,674
Lenexa Ward 2 Precinct 08,0,0,0
Lenexa Ward 2 Precinct 09,0,0,0
Lenexa Ward 2 Precinct 10,244,29,92
Lenexa Ward 2 Precinct 11,276,30,272
Lenexa Ward 3 Precinct 01,601,65,253
Lenexa Ward 3 Precinct 02,915,66,451
Lenexa Ward 3 Precinct 03,682,35,516
Lenexa Ward 3 Precinct 04,371,38,372
Lenexa Ward 3 Precinct 05,583,73,224
Lenexa Ward 3 Precinct 06,429,35,270
Lenexa Ward 3 Precinct 07,497,28,421
Lenexa Ward 3 Precinct 08,485,29,408
Lenexa Ward 3 Precinct 09,462,52,375
Lenexa Ward 4 Precinct 01,281,24,176
Lenexa Ward 4 Precinct 02,493,40,354
Lenexa Ward 4 Precinct 03,429,64,199
Lenexa Ward 4 Precinct 04,283,36,230
Lenexa Ward 4 Precinct 05,252,30,155
Lenexa Ward 4 Precinct 06,539,51,374
Lenexa Ward 4 Precinct 07,434,45,290
Lenexa Ward 4 Precinct 08,377,24,252
Lenexa Ward 4 Precinct 09,448,22,314
Lenexa Ward 4 Precinct 10,289,41,173
Lenexa Ward 4 Precinct 11,79,11,39
Lenexa Ward 4 Precinct 12,352,42,280
Merriam Ward 1 Precinct 01,157,25,106
Merriam Ward 1 Precinct 02,224,36,104
Merriam Ward 1 Precinct 03,161,11,97
Merriam Ward 1 Precinct 04,245,24,120
Merriam Ward 2 Precinct 01,489,66,369
Merriam Ward 2 Precinct 02,1,1,3
Merriam Ward 2 Precinct 03,319,35,164
Merriam Ward 3 Precinct 01,556,52,255
Merriam Ward 3 Precinct 02,465,33,244
Merriam Ward 4 Precinct 01,598,37,312
Merriam Ward 4 Precinct 02,215,22,142
Merriam Ward 4 Precinct 03,298,35,160
Mission Ward 1 Precinct 01,308,35,156
Mission Ward 1 Precinct 02,421,50,149
Mission Ward 2 Precinct 01,580,47,237
Mission Ward 2 Precinct 02,522,35,221
Mission Ward 3 Precinct 01,652,51,215
Mission Ward 3 Precinct 02,282,24,122
Mission Ward 4 Precinct 01,339,13,161
Mission Ward 4 Precinct 02,451,25,218
Mission Ward 4 Precinct 03,318,18,136
Mission Hills Precinct 01,287,3,299
Mission Hills Precinct 02,454,7,316
Mission Hills Precinct 03,243,5,231
Mission Hills Precinct 04,464,4,336
Mission Woods Precinct 01,100,3,41
Overland Park Ward 1 Precinct 01,485,44,262
Overland Park Ward 1 Precinct 02,643,60,244
Overland Park Ward 1 Precinct 03,480,55,290
Overland Park Ward 1 Precinct 04,170,21,123
Overland Park Ward 1 Precinct 05,368,35,170
Overland Park Ward 1 Precinct 06,578,42,323
Overland Park Ward 1 Precinct 07,594,67,383
Overland Park Ward 1 Precinct 08,533,76,237
Overland Park Ward 1 Precinct 09,291,32,165
Overland Park Ward 1 Precinct 10,594,69,383
Overland Park Ward 1 Precinct 11,263,37,83
Overland Park Ward 1 Precinct 12,658,76,254
Overland Park Ward 1 Precinct 13,353,51,236
Overland Park Ward 1 Precinct 14,522,69,283
Overland Park Ward 1 Precinct 15,237,32,143
Overland Park Ward 1 Precinct 16,765,70,374
Overland Park Ward 1 Precinct 17,298,28,141
Overland Park Ward 1 Precinct 18,475,15,242
Overland Park Ward 1 Precinct 19,437,63,221
Overland Park Ward 1 Precinct 20,277,23,164
Overland Park Ward 1 Precinct 21,153,12,114
Overland Park Ward 1 Precinct 22,143,25,53
Overland Park Ward 1 Precinct 23,454,22,228
Overland Park Ward 2 Precinct 01,417,25,254
Overland Park Ward 2 Precinct 02,445,51,306
Overland Park Ward 2 Precinct 03,414,22,232
Overland Park Ward 2 Precinct 04,469,49,285
Overland Park Ward 2 Precinct 05,510,65,278
Overland Park Ward 2 Precinct 06,400,37,221
Overland Park Ward 2 Precinct 07,310,34,229
Overland Park Ward 2 Precinct 08,461,56,194
Overland Park Ward 2 Precinct 09,350,59,244
Overland Park Ward 2 Precinct 10,264,28,250
Overland Park Ward 2 Precinct 11,392,42,248
Overland Park Ward 2 Precinct 12,336,36,183
Overland Park Ward 2 Precinct 13,314,44,153
Overland Park Ward 2 Precinct 14,340,26,184
Overland Park Ward 2 Precinct 15,554,37,355
Overland Park Ward 2 Precinct 16,326,15,191
Overland Park Ward 2 Precinct 17,445,40,356
Overland Park Ward 2 Precinct 18,597,58,325
Overland Park Ward 2 Precinct 19,356,21,204
Overland Park Ward 2 Precinct 20,279,14,215
Overland Park Ward 2 Precinct 21,391,9,207
Overland Park Ward 2 Precinct 22,464,47,220
Overland Park Ward 2 Precinct 23,392,20,269
Overland Park Ward 2 Precinct 24,800,43,461
Overland Park Ward 2 Precinct 25,539,26,341
Overland Park Ward 2 Precinct 26,217,25,119
Overland Park Ward 2 Precinct 27,532,43,349
Overland Park Ward 3 Precinct 01,609,49,548
Overland Park Ward 3 Precinct 02,504,27,383
Overland Park Ward 3 Precinct 03,360,4,259
Overland Park Ward 3 Precinct 04,477,31,337
Overland Park Ward 3 Precinct 05,490,47,376
Overland Park Ward 3 Precinct 06,537,43,394
Overland Park Ward 3 Precinct 07,425,46,244
Overland Park Ward 3 Precinct 08,386,29,306
Overland Park Ward 3 Precinct 09,580,58,456
Overland Park Ward 3 Precinct 10,276,30,260
Overland Park Ward 3 Precinct 11,445,47,368
Overland Park Ward 3 Precinct 12,408,44,185
Overland Park Ward 3 Precinct 13,851,57,634
Overland Park Ward 3 Precinct 14,642,60,404
Overland Park Ward 3 Precinct 15,350,25,284
Overland Park Ward 3 Precinct 16,440,17,292
Overland Park Ward 3 Precinct 17,315,20,254
Overland Park Ward 3 Precinct 18,665,69,424
Overland Park Ward 3 Precinct 19,581,46,364
Overland Park Ward 3 Precinct 20,523,37,390
Overland Park Ward 3 Precinct 21,396,30,323
Overland Park Ward 3 Precinct 22,290,28,176
Overland Park Ward 3 Precinct 23,475,49,242
Overland Park Ward 4 Precinct 01,482,35,424
Overland Park Ward 4 Precinct 02,625,46,644
Overland Park Ward 4 Precinct 03,630,51,715
Overland Park Ward 4 Precinct 04,657,31,619
Overland Park Ward 4 Precinct 05,532,36,447
Overland Park Ward 4 Precinct 06,430,33,358
Overland Park Ward 4 Precinct 07,372,36,286
Overland Park Ward 4 Precinct 08,426,31,409
Overland Park Ward 4 Precinct 09,334,26,469
Overland Park Ward 4 Precinct 10,278,22,347
Overland Park Ward 4 Precinct 11,618,60,450
Overland Park Ward 4 Precinct 12,764,71,650
Overland Park Ward 4 Precinct 13,402,32,499
Overland Park Ward 4 Precinct 14,250,18,274
Overland Park Ward 4 Precinct 15,682,52,608
Overland Park Ward 4 Precinct 16,644,53,737
Overland Park Ward 4 Precinct 17,684,53,619
Overland Park Ward 4 Precinct 18,168,33,92
Overland Park Ward 4 Precinct 19,532,41,588
Overland Park Ward 5 Precinct 01,488,45,461
Overland Park Ward 5 Precinct 02,95,4,72
Overland Park Ward 5 Precinct 03,520,35,446
Overland Park Ward 5 Precinct 04,864,67,940
Overland Park Ward 5 Precinct 05,673,52,582
Overland Park Ward 5 Precinct 06,516,31,394
Overland Park Ward 5 Precinct 07,543,30,700
Overland Park Ward 5 Precinct 08,954,79,823
Overland Park Ward 5 Precinct 09,625,38,583
Overland Park Ward 5 Precinct 10,573,25,463
Overland Park Ward 5 Precinct 11,735,68,479
Overland Park Ward 5 Precinct 12,350,22,249
Overland Park Ward 5 Precinct 13,775,31,410
Overland Park Ward 5 Precinct 14,584,37,409
Overland Park Ward 5 Precinct 15,630,50,405
Overland Park Ward 5 Precinct 16,323,18,262
Overland Park Ward 5 Precinct 17,238,20,180
Overland Park Ward 6 Precinct 01,533,25,502
Overland Park Ward 6 Precinct 02,446,29,465
Overland Park Ward 6 Precinct 03,403,33,497
Overland Park Ward 6 Precinct 04,566,24,595
Overland Park Ward 6 Precinct 05,658,54,578
Overland Park Ward 6 Precinct 06,0,0,0
Overland Park Ward 6 Precinct 07,104,8,211
Overland Park Ward 6 Precinct 08,1361,120,2247
Overland Park Ward 6 Precinct 09,814,76,859
Overland Park Ward 6 Precinct 10,624,62,561
Overland Park Ward 6 Precinct 11,876,79,1314
Overland Park Ward 6 Precinct 12,243,15,192
Overland Park Ward 6 Precinct 13,259,18,489
Overland Park Ward 6 Precinct 14,0,0,0
Overland Park Ward 6 Precinct 15,666,45,709
Overland Park Ward 6 Precinct 16,332,24,342
Overland Park Ward 6 Precinct 17,94,7,107
Overland Park Ward 6 Precinct 18,24,2,45
Overland Park Ward 6 Precinct 19,565,37,519
Prairie Village Ward 1 Precinct 01,702,20,305
Prairie Village Ward 1 Precinct 02,511,17,210
Prairie Village Ward 1 Precinct 03,709,21,321
Prairie Village Ward 2 Precinct 01,580,28,245
Prairie Village Ward 2 Precinct 02,340,20,164
Prairie Village Ward 2 Precinct 03,572,36,249
Prairie Village Ward 3 Precinct 01,404,19,203
Prairie Village Ward 3 Precinct 02,650,16,263
Prairie Village Ward 3 Precinct 03,574,15,268
Prairie Village Ward 4 Precinct 01,518,14,367
Prairie Village Ward 4 Precinct 02,434,25,213
Prairie Village Ward 4 Precinct 03,666,17,360
Prairie Village Ward 5 Precinct 01,602,16,343
Prairie Village Ward 5 Precinct 02,617,15,461
Prairie Village Ward 5 Precinct 03,597,30,409
Prairie Village Ward 6 Precinct 01,642,30,279
Prairie Village Ward 6 Precinct 02,565,35,230
Prairie Village Ward 6 Precinct 03,401,24,217
Roeland Park Ward 1 Precinct 01,370,32,132
Roeland Park Ward 1 Precinct 02,254,17,86
Roeland Park Ward 2 Precinct 01,321,35,123
Roeland Park Ward 2 Precinct 02,399,24,170
Roeland Park Ward 3 Precinct 01,293,10,91
Roeland Park Ward 3 Precinct 02,273,11,89
Roeland Park Ward 3 Precinct 03,204,12,91
Roeland Park Ward 4 Precinct 01,202,8,102
Roeland Park Ward 4 Precinct 02,315,8,141
Roeland Park Ward 4 Precinct 03,301,12,125
Shawnee Ward 1 Precinct 01,501,55,436
Shawnee Ward 1 Precinct 02,372,29,306
Shawnee Ward 1 Precinct 03,372,45,318
Shawnee Ward 1 Precinct 04,564,31,590
Shawnee Ward 1 Precinct 05,750,55,590
Shawnee Ward 1 Precinct 06,487,18,532
Shawnee Ward 1 Precinct 07,516,51,457
Shawnee Ward 1 Precinct 08,839,78,715
Shawnee Ward 1 Precinct 09,124,20,61
Shawnee Ward 1 Precinct 10,144,7,204
Shawnee Ward 1 Precinct 11,471,31,384
Shawnee Ward 1 Precinct 12,4,1,5
Shawnee Ward 2 Precinct 01,257,48,218
Shawnee Ward 2 Precinct 02,429,71,355
Shawnee Ward 2 Precinct 03,529,62,325
Shawnee Ward 2 Precinct 04,556,54,425
Shawnee Ward 2 Precinct 05,277,38,216
Shawnee Ward 2 Precinct 06,334,36,299
Shawnee Ward 2 Precinct 07,301,40,264
Shawnee Ward 2 Precinct 08,285,31,248
Shawnee Ward 2 Precinct 09,298,34,216
Shawnee Ward 2 Precinct 10,284,34,205
Shawnee Ward 2 Precinct 11,392,32,330
Shawnee Ward 2 Precinct 12,198,26,87
Shawnee Ward 2 Precinct 13,241,21,141
Shawnee Ward 3 Precinct 01,330,36,404
Shawnee Ward 3 Precinct 02,760,82,784
Shawnee Ward 3 Precinct 03,628,64,537
Shawnee Ward 3 Precinct 04,515,44,586
Shawnee Ward 3 Precinct 05,460,44,765
Shawnee Ward 3 Precinct 06,543,57,566
Shawnee Ward 3 Precinct 07,717,78,904
Shawnee Ward 3 Precinct 08,505,47,567
Shawnee Ward 3 Precinct 09,439,51,624
Shawnee Ward 4 Precinct 01,622,50,510
Shawnee Ward 4 Precinct 02,357,37,296
Shawnee Ward 4 Precinct 03,189,22,133
Shawnee Ward 4 Precinct 04,370,49,147
Shawnee Ward 4 Precinct 05,554,50,419
Shawnee Ward 4 Precinct 06,458,41,378
Shawnee Ward 4 Precinct 07,648,40,507
Shawnee Ward 4 Precinct 08,227,11,183
Shawnee Ward 4 Precinct 09,808,82,849
Shawnee Ward 4 Precinct 10,0,0,0
Shawnee Ward 4 Precinct 11,482,49,309
Shawnee Ward 4 Precinct 12,63,4,43
Westwood Precinct 01,450,17,155
Westwood Precinct 02,378,9,119
Westwood Hills Precinct 01,194,4,81
Lake Quivira Precinct 01,310,17,431
Bonner Springs Ward 4 Precinct 01,0,0,0
COUNTY TOTALS,179231,16037,152068
