Precinct,DEM Barbara Bollier,LIB Jason Buckley,REP Roger Marshall,Write-in Totals,Total Votes Cast
101,595,64,458,1,1118
102,510,29,434,0,973
103,135,8,61,0,204
104,48,2,18,0,68
105,462,37,190,1,690
106,861,67,284,3,1215
107,935,48,501,0,1484
108,644,40,273,0,957
109,764,62,313,1,1140
110,852,40,585,0,1477
111,196,17,164,0,377
112,842,54,321,3,1220
113,686,31,124,4,845
114,609,38,64,4,715
116,873,40,75,1,989
117,845,52,66,2,965
118,1002,50,148,1,1201
119,721,41,264,3,1029
120,730,49,299,1,1079
121,481,21,387,1,890
122,1042,80,571,4,1697
123,145,12,94,0,251
126,117,7,136,0,260
127,239,31,277,2,549
128,655,37,429,1,1122
129,143,21,101,0,265
130,412,45,224,2,683
133,21,2,14,0,37
205,240,37,108,1,386
206,221,13,133,0,367
207,1105,92,762,1,1960
208,182,19,178,1,380
209,663,45,348,2,1058
210,750,63,488,0,1301
211,336,24,343,1,704
212,616,29,633,3,1281
213,733,42,770,2,1547
214,563,25,838,0,1426
215,1012,59,990,0,2061
216,581,34,528,0,1143
217,607,34,784,3,1428
218,1132,69,1209,2,2412
221,409,22,474,1,906
222,783,67,1008,1,1859
223,754,48,1038,1,1841
224,1111,107,932,1,2151
225,1086,72,954,4,2116
226,993,102,1460,3,2558
227,426,22,675,0,1123
228,652,41,1226,2,1921
233,249,23,278,0,550
235,202,14,132,2,350
236,316,17,519,2,854
238,17,0,29,0,46
239,14,1,51,0,66
240,72,5,94,0,171
241,50,7,88,0,145
242,88,9,157,0,254
246,24,2,37,0,63
247,133,5,187,0,325
301,242,49,213,1,505
302,484,85,375,1,945
303,274,36,204,1,515
304,275,28,172,0,475
305,745,75,533,4,1357
306,944,99,491,2,1536
307,419,50,209,3,681
308,672,64,383,4,1123
309,747,87,477,1,1312
310,389,55,226,3,673
311,211,27,228,1,467
312,237,28,189,0,454
313,727,97,525,2,1351
314,527,73,540,5,1145
315,426,60,432,2,920
316,421,62,673,1,1157
317,11,0,8,0,19
318,53,10,82,0,145
319,206,20,112,0,338
320,156,14,68,0,238
321,25,4,10,0,39
324,228,36,161,1,426
325,448,54,418,1,921
326,41,11,70,0,122
328,24,3,21,0,48
329,0,0,0,0,0
401,278,36,369,2,685
402,236,23,355,0,614
403,283,41,565,1,890
404,719,126,655,5,1505
405,504,62,407,3,976
406,443,70,408,3,924
407,44,10,46,0,100
408,426,79,340,1,846
409,229,50,234,2,515
410,726,60,1481,1,2268
412,866,115,1488,3,2472
413,684,78,1005,3,1770
414,198,27,311,0,536
416,324,55,642,0,1021
417,380,58,369,0,807
418,514,64,543,2,1123
419,410,69,458,1,938
420,407,74,516,0,997
422,267,52,345,0,664
423,395,66,456,3,920
424,180,39,182,0,401
425,600,105,927,1,1633
426,10,1,24,0,35
429,277,37,255,0,569
433,175,38,247,1,461
437,178,38,251,1,468
503,711,76,682,0,1469
504,420,54,404,2,880
506,557,78,761,1,1397
507,547,59,711,0,1317
508,508,53,690,2,1253
509,471,52,640,2,1165
510,487,14,1066,1,1568
512,1251,125,2033,2,3411
513,473,37,818,0,1328
514,734,52,1015,1,1802
515,634,58,838,0,1530
516,402,45,488,3,938
517,440,44,475,1,960
518,453,57,699,1,1210
519,573,60,647,1,1281
522,424,44,753,0,1221
523,440,40,760,0,1240
524,745,62,1112,1,1920
525,615,72,762,2,1451
526,592,59,902,0,1553
527,555,52,911,2,1520
530,487,47,1022,1,1557
531,744,49,1414,0,2207
534,42,6,113,0,161
538,143,9,331,1,484
539,419,46,761,2,1228
601,783,55,349,1,1188
602,703,98,634,3,1438
603,256,27,611,0,894
604,637,94,700,1,1432
605,226,31,219,0,476
606,246,27,185,0,458
607,1052,61,460,2,1575
608,730,60,254,1,1045
609,1170,97,578,4,1849
610,618,41,618,1,1278
611,361,46,320,3,730
612,810,82,794,1,1687
613,646,70,588,2,1306
614,371,47,256,1,675
615,1029,90,414,3,1536
616,326,63,397,2,788
617,302,37,130,1,470
618,585,68,618,0,1271
619,556,54,637,0,1247
621,83,11,180,0,274
622,539,46,1010,0,1595
623,462,65,971,2,1500
624,84,6,39,0,129
627,45,5,46,0,96
AF,215,29,661,1,906
AT01,1,1,16,0,18
AT02,43,11,101,1,156
AT03,120,13,438,1,572
AT05,68,6,180,0,254
AT06,10,1,67,0,78
AT08,15,3,46,0,64
AT12,18,5,42,0,65
BA01,653,47,871,1,1572
BA02,663,55,644,1,1363
BA03,697,53,866,1,1617
DB11,522,100,942,0,1564
DB12,370,32,492,1,895
DB14,282,40,475,0,797
DB15,8,0,19,0,27
DB21,309,50,478,1,838
DB22,459,53,639,2,1153
DB23,474,58,763,2,1297
DB24,117,20,188,1,326
DB25,44,5,43,0,92
DB31,100,21,172,1,294
DB32,334,37,565,0,936
DB36,487,73,738,2,1300
DB37,103,14,118,0,235
DB41,240,40,333,0,613
DB42,679,92,1404,4,2179
EA,144,42,394,2,582
ER,13,3,42,0,58
GA,202,39,890,0,1131
GD,50,4,306,0,360
GN01,228,39,598,0,865
GO,344,66,858,0,1268
GO04,11,2,59,0,72
GO05,291,68,638,1,998
GR,118,42,371,1,532
GY01,475,76,1310,0,1861
GY02,35,8,32,1,76
GY03,19,3,30,0,52
GY04,7,1,8,0,16
HA11,337,47,527,1,912
HA21,390,92,619,0,1101
HA24,20,1,39,0,60
HA25,10,1,17,0,28
HA31,421,95,757,3,1276
HA33,13,1,28,0,42
HA41,287,63,561,2,913
HA42,94,13,207,0,314
IL01,236,33,861,0,1130
KE02,2,1,3,0,6
KE03,362,40,593,2,997
KE04,16,5,31,0,52
KE07,3,1,18,0,22
KE08,5,0,10,0,15
LI,61,20,253,0,334
MI01,381,29,881,2,1293
MI02,203,9,327,1,540
MI03,6,2,14,0,22
MI05,3,1,1,0,5
MI07,10,1,17,0,28
MI08,10,1,21,0,32
MI09,102,10,156,0,268
MI12,1,0,1,0,2
MI14,57,3,65,0,125
MO,337,67,995,1,1400
MV01,218,39,468,1,726
MV02,592,124,1169,0,1885
MV06,24,5,63,0,92
NI,360,86,949,0,1395
NI01,54,10,223,0,287
OH01,170,39,568,2,779
PA01,85,16,275,1,377
PA02,47,10,118,0,175
PA05,858,117,1479,0,2454
PA06,20,1,40,0,61
PC11,230,41,456,1,728
PC13,102,13,215,0,330
PC21,388,73,549,1,1011
PC22,6,0,26,0,32
PC31,267,59,392,0,718
PC41,199,33,282,0,514
PC43,151,24,193,0,368
President,0,0,0,0,0
PY01,206,34,529,0,769
RI01,24,3,33,0,60
RI03,152,44,203,1,400
RI06,53,6,78,1,138
RI07,227,44,213,1,485
RO01,132,23,353,1,509
RO03,85,22,242,0,349
RO04,3,0,16,0,19
SA01,284,79,755,2,1120
SA02,227,48,556,1,832
SH,168,17,870,0,1055
UN01,251,32,1091,0,1374
UN02,18,3,70,0,91
VA,152,44,457,1,654
VC11,278,46,563,0,887
VC21,272,40,591,0,903
VC31,212,42,508,1,763
VC32,9,1,24,0,34
VC41,279,38,526,2,845
VC42,58,18,173,0,249
VI,63,12,210,0,285
WA01,17,2,56,0,75
WA02,66,14,199,0,279
WA03,6,1,13,0,20
WA12,0,0,2,0,2
Totals,96205,10496,115476,242,222419
